name,min\_temp,max\_temp,licht,standort,blütezeit,beschreibung,level,zeitaufwand,wasserbedarf,bodenart,begleitpflanzen,monats\_tipps
Radicchio,5,30,halbschattig,Garten,März–August,schnell wachsend und pflegeleicht,Anfänger,wenig,mittel,humos,"Salat, Kresse","Schattig pflanzen, leicht bitter"
Kopfsalat,5,30,halbschattig,Garten,März–August,schnell wachsend und pflegeleicht,Anfänger,wenig,mittel,humos,"Radieschen, Karotten","Nicht zu dicht pflanzen, Frühjahr optimal"
Zimmerlinde,15,30,halbschattig,Zimmer,–,"großblättrige, luftreinigende Zimmerpflanze",Anfänger,mittel,mittel,humos,"–","Im Sommer rausstellen möglich, regelmäßig gießen"
Bogenhanf,10,28,halbschattig,Zimmer,–,"pflegeleicht und robust, ideal fürs Schlafzimmer",Anfänger,wenig,wenig,kiesig,"–","Kaum gießen, verträgt Trockenheit"
Glücksfeder,15,30,halbschattig,Zimmer,–,"moderne Grünpflanze, pflegeleicht",Anfänger,wenig,mittel,lehmig,"–","Nicht zu viel Wasser geben, hell aber ohne Sonne"
Einblatt,15,28,schattig,Zimmer,–,"blüht auch im Schatten, luftreinigend",Anfänger,mittel,mittel,humos,"–","Feuchtigkeit hoch halten, regelmäßig besprühen"
Gummibaum,15,30,sonnig,Zimmer,–,"klassische Zimmerpflanze mit großen Blättern",Fortgeschritten,mittel,mittel,lehmig,"–","Regelmäßig entstauben, gelegentlich düngen"
Zitronenbaum,10,35,sonnig,Balkon,Juni–September,"Zitrusduft, mediterran",Fortgeschritten,hoch,hoch,lehmig,"Rosmarin, Lavendel","Winterquartier nötig, im Sommer viel Sonne"
Chili,12,35,sonnig,Balkon,Juli–September,"scharf, ertragreich auf kleinem Raum",Fortgeschritten,hoch,mittel,humos,"Tomate, Basilikum","Vorziehen im März, warm halten"
Kapuzinerkresse,10,30,sonnig,Balkon,Juli–Oktober,"essbare Blüten, schnellwachsend",Anfänger,wenig,mittel,humos,"Salat, Dill","Direktsaat möglich, regelmäßig ernten"
Ysop,10,28,sonnig,Balkon,Juni–August,"bienenfreundlich, mediterran",Experte,mittel,wenig,kiesig,"Lavendel, Thymian","Nicht zu feucht halten, trockener Standort"
Zitronenmelisse,8,28,halbschattig,Balkon,Juni–August,"duftet zitronig, ideal für Tee",Anfänger,mittel,mittel,humos,"Minze, Erdbeere","Buschig halten durch Rückschnitt"
Melone,15,40,sonnig,Garten,Juli–September,"süß, braucht viel Wärme",Experte,hoch,hoch,sandig,"Mais, Kürbis","Nur in warmen Regionen oder Gewächshaus"
Artischocke,10,30,sonnig,Garten,Juli–August,"besonders und dekorativ",Experte,hoch,hoch,lehmig,"Salbei, Thymian","Mehrjährig, braucht Winterschutz"
Ingwer,18,35,halbschattig,Zimmer,–,"exotisch, medizinisch wertvoll",Fortgeschritten,hoch,hoch,humos,"–","In Topf mit Drainage pflanzen, warm halten"
